City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,sayan,-11.1361,-77.1933,21.64,72,62,2.17,PE,1669935983
300,gizo,-8.103,156.8419,28.29,74,100,1.6,SB,1669935983
301,ukiah,39.1502,-123.2078,9.65,70,40,4.12,US,1669935948
302,matara,5.9485,80.5353,23.75,91,62,1.67,LK,1669935983
303,chhaprauli,29.2167,77.1833,14.96,34,100,0.44,IN,1669935984
304,hailey,43.5196,-114.3153,-0.06,71,100,2.24,US,1669935984
305,ust-ishim,57.6935,71.1665,-25.08,95,23,1.44,RU,1669935985
306,nokaneng,-19.6667,22.2667,22.7,25,0,2.95,BW,1669935985
307,vizianagaram,18.1167,83.4167,21.19,87,4,1.49,IN,1669935985
308,havre-saint-pierre,50.2334,-63.5986,0.2,74,100,9.77,CA,1669935986
309,hendek,40.7994,30.7481,11.28,88,98,1.29,TR,1669935986
310,kloulklubed,7.0419,134.2556,27.28,75,99,5.48,PW,1669935987
311,kahului,20.8947,-156.47,27.2,76,40,6.17,US,1669935987
312,flinders,-34.5833,150.8552,20.66,74,95,3.13,AU,1669935987
313,lata,40.1629,-8.3327,5.6,76,0,1.79,PT,1669935988
314,margate,51.3813,1.3862,8.72,80,87,0.45,GB,1669935988
315,san jeronimo,-11.9472,-75.2829,15.88,47,14,1.42,PE,1669935988
316,akyab,20.15,92.9,23.82,85,4,2.55,MM,1669935989
317,kavaratti,10.5669,72.642,26.99,76,5,0.81,IN,1669935989
318,sidney,-33.8679,151.2073,21.29,64,75,5.14,AU,1669935918
319,broome,42.2506,-75.833,0.49,67,100,4.63,US,1669935990
320,ibra,22.6906,58.5334,18.4,46,81,1.25,OM,1669935990
321,san angelo,31.4638,-100.437,14.19,62,100,4.02,US,1669935881
322,tarko-sale,64.9225,77.785,-21.49,90,89,4.6,RU,1669935991
323,abrau-dyurso,44.69,37.59,3.7,71,100,3.98,RU,1669935991
324,luwingu,-10.2621,29.9271,17.04,89,98,0.92,ZM,1669935992
325,dakar,14.6937,-17.4441,24.57,67,45,7.21,SN,1669935992
326,yerbogachen,61.2767,108.0108,-23.95,92,100,3.31,RU,1669935993
327,egvekinot,66.3167,-179.1667,-1.43,99,100,5.02,RU,1669935993
328,san buenaventura,27.0833,-101.5333,19.51,45,40,3.6,MX,1669935993
329,caravelas,-17.7125,-39.2481,23.99,91,100,3.86,BR,1669935994
330,lamu,-2.2717,40.902,27.12,84,96,4.43,KE,1669935994
331,pemangkat,1.1667,108.9667,24.58,89,100,1.51,ID,1669935995
332,villa carlos paz,-31.4241,-64.4978,24.66,36,76,0.89,AR,1669935995
333,launceston,-41.45,147.1667,15.9,77,100,3.09,AU,1669935995
334,mahebourg,-20.4081,57.7,22.36,78,21,2.94,MU,1669935996
335,muzhi,65.3667,64.6667,-20.59,95,6,3.2,RU,1669935996
336,sao filipe,14.8961,-24.4956,23.36,65,100,5.84,CV,1669935764
337,kununurra,-15.7667,128.7333,26.99,65,56,0.0,AU,1669935997
338,batagay-alyta,67.8006,130.4114,-25.77,99,100,0.88,RU,1669935997
339,kontagora,10.3999,5.4695,24.35,35,59,1.88,NG,1669935997
340,esil,51.9556,66.4042,-14.12,81,100,5.79,KZ,1669935998
341,bubaque,11.2833,-15.8333,27.57,63,61,7.01,GW,1669935998
342,camacha,33.0833,-16.3333,16.68,77,40,7.2,PT,1669935999
343,solwezi,-12.1688,26.3894,15.16,96,2,1.5,ZM,1669935999
344,peddapalli,18.6167,79.3667,18.94,64,0,1.13,IN,1669936000
345,mogadishu,2.0371,45.3438,26.52,76,99,5.44,SO,1669935898
346,ancud,-41.8697,-73.8203,11.24,68,98,2.96,CL,1669935945
347,puerto el triunfo,13.2833,-88.55,27.51,75,44,1.21,SV,1669936000
348,kudahuvadhoo,2.6708,72.8944,26.46,73,98,1.49,MV,1669936001
349,kenai,60.5544,-151.2583,-9.36,85,0,1.54,US,1669936001
350,menongue,-14.6585,17.691,19.03,68,16,1.93,AO,1669936001
351,japura,-0.3167,102.35,22.5,99,100,1.14,ID,1669936002
352,esperance,-33.8667,121.9,17.78,81,100,5.93,AU,1669936002
353,ouesso,1.6136,16.0517,20.87,98,81,1.08,CG,1669936003
354,yurga,55.7231,84.8861,-18.94,98,93,2.44,RU,1669936003
355,honggang,46.4667,124.8667,-20.25,87,11,4.07,CN,1669936003
356,raton,36.9034,-104.4391,12.96,21,0,4.12,US,1669936004
357,ocos,14.5094,-92.1933,29.1,75,68,1.48,GT,1669936004
358,rawah,34.4816,41.9093,16.88,62,93,3.78,IQ,1669936004
359,sao gabriel da cachoeira,-0.1303,-67.0892,23.84,96,90,1.21,BR,1669936005
360,iracoubo,5.4802,-53.2011,25.65,84,64,4.67,GF,1669936005
361,simbahan,6.3032,120.5836,27.59,76,100,2.35,PH,1669936005
362,vanimo,-2.6741,141.3028,26.85,85,100,2.6,PG,1669936006
363,la ronge,55.1001,-105.2842,-22.09,96,100,1.8,CA,1669936006
364,rawson,-43.3002,-65.1023,21.75,38,55,14.26,AR,1669936007
